ID;City;Place names;Place2 names;Latitude;Longitude;A;C;E;H;N;R;SP;S   H;B;L
1;Baghdad;Kadhimiya kindergarten;ÇáÑæÖÉ ÇáßÇÙãíÉ;33.379507;44.339878;;1;;;;1;;;;
2;Baghdad;the aquatic city;ÇáãÏíäÉ ÇáãÇÆíÉ;33.252217;44.495281;1;;;;;;1;;;
3;Baghdad;Mosque and shrine of Imam Abu Hanifa Noman;ÌÇãÚ æãÑŞÏ ÇáÅãÇã ÃÈæ ÍäíİÉ ÇáäÚãÇä;33.371865;44.358385;;1;;;;1;;;;
4;Baghdad;Bartha Mosque;ÌÇãÚ ÈÑÇËÇ;33.351238;44.361236;;1;;;;1;;;;
5;Baghdad;Mosque and shrine of Sheikh Abdul Qadir Kilani;ÌÇãÚ æãÑŞÏ ÇáÔíÎ ÚÈÏ ÇáŞÇÏÑ ÇáßíáÇäí;33.33788;44.410124;;1;;;;1;;;;
6;Baghdad;Mosque of the Caliphs;ÌÇãÚ ÇáÎáİÇÁ;33.338887;44.397739;;1;;;;1;;;;
7;Baghdad;Al Zawra Park;ãÊäÒå ÇáÒæÑÇÁ;33.314855;44.377068;1;1;;;1;;1;;;1
8;Baghdad;Al Mustansiriya School;ÇáãÏÑÓÉ ÇáãÓÊäÕÑíÉ;33.338494;44.389989;;1;;;;;;;;
9;Baghdad;The Abbasid palace;ÇáŞÕÑ ÇáÚÈÇÓí;33.342913;44.38353;;1;;;;;;;;
10;Baghdad;Al Qashla Building;ãÈäì ÇáŞÔáÉ;33.341267;44.386225;;1;;;;;;;;
11;Baghdad;The Baghdadi Museum;ÇáãÊÍİ ÇáÈÛÏÇÏí;33.34022;44.389768;;1;;;;;;;;
12;Baghdad;Natural History Museum;ãÊÍİ ÇáÊÇÑíÎ ÇáØÈíÚí;33.354717;44.392675;;1;;;1;;;;;
13;Baghdad;The Island of Baghdad;ÌÒíÑÉ ÈÛÏÇÏ;33.443686;44.343758;1;;1;;1;;1;;;1
14;Baghdad;amusement park  of Sinbad;ãÏíäå ÇáÚÇÈ ÇáÓäÏÈÇÏ;33.278072;44.311123;1;;1;;1;;1;;;1
15;Baghdad;Wall of Baghdad;ÓæÑ ÈÛÏÇÏ;33.340998;44.412757;;1;;;;;;;;
16;Baghdad;Aqraqof;ÚŞÑŞæİ;33.353535;44.202124;;1;;;;;;;;
17;Baghdad;Al Shaab International Stadium;ãáÚÈ ÇáÔÚÈ ÇáÏæáí;33.324922;44.43547;;;;;;;1;;;
18;Baghdad;Iraqi National Theater;ÇáãÓÑÍ ÇáæØäí ÇáÚÑÇŞí;33.303843;44.432322;;;;;;;;;;1
19;Baghdad;Abu Nawas Park;ãÊäÒå ÇÈæ äÄÇÓ;33.312993;44.417574;;;;;1;;1;;;1
20;Baghdad;Cornish of Adhamiya;ßæÑäíÔ ÇáÇÚÙãíÉ;33.364252;44.369969;;;;;1;;1;;;1
21;Baghdad;Hill of Hermel;Êá ÍÑãá;33.323218;44.482462;;1;;;;;;;;
22;Baghdad;Al-Mada'in;ÇáãÏÇÆä;33.098498;44.581211;;1;;;;1;;;;
23;Baghdad;Baghdad Mall;ãæá ÈÛÏÇÏ;33.311676;44.364601;;;;;;;;1;1;1
24;Baghdad;Al Mansour Mall;ãæá ÇáãäÕæÑ;33.316956;44.354618;;;;;;;;1;1;1
25;Baghdad;Nakheel Mall;ÇáäÎíá ãæá;33.344168;44.434711;;;;;;;;1;1;1
26;Baghdad;Zayouna Mall;ÒíæäÉ ãæá;33.332125;44.452262;;;;;;;;1;1;1
27;Baghdad;The Monument to the Unknown Soldier;äÕÈ ÇáÌäÏí ÇáãÌåæá;33.308599;44.389207;;1;;;;;;;;
28;Baghdad;Victory Arch;ŞæÓ ÇáäÕÑ;33.305251;44.386446;;1;;;;;;;;
29;Baghdad;Al-Shaheed Monument;äÕÈ ÇáÔåíÏ;33.34343;44.446017;;1;;;;;;;;
30;Baghdad;Monument to Liberation Square;äÕÈ ÓÇÍÉ ÇáÊÍÑíÑ;33.327729;44.408292;;1;;;;;;;;
31;Baghdad;The Iraqi Museum;ÇáãÊÍİ ÇáÚÑÇŞí;33.328574;44.385881;;1;;;;;;;;
32;Baghdad;Baghdad Clock;ÓÇÚÉ ÈÛÏÇÏ;33.301554;44.374928;;1;;;;;;;;
33;Baghdad;Al_Rasheed Street;ÔÇÑÚ ÇáÑÔíÏ;33.335714;44.396129;;1;;;;;;1;1;
34;Baghdad;Weddings tourist island;ÌÒíÑÉ ÇáÇÚÑÇÓ ÇáÓíÇÍíÉ;33.283439;44.368207;1;;1;;1;;1;;;1
35;Baghdad;Lake of  Al-Jadriya;ÈÍíÑÉ ÇáÌÇÏÑíÉ;33.279633;44.385117;;;;;1;;;;;1
36;Baghdad;Al_Mutanabi Street;ÔÇÑÚ ÇáãÊäÈí;33.340745;44.388752;;1;;;;;;1;1;
37;Mosul;The tomb of the prophet Younis;ãŞÇã ÇáäÈí íæäÓ;36.348485;43.159778;;1;;;;1;;;;
38;Mosul;The Shrine of Prophet Shit;ãŞÇã ÇáäÈí ÔíÊ;36.334846;43.135473;;1;;;;1;;;;
39;Mosul;Lake of Mosul Dam;ÈÍíÑÉ ÓÏ ÇáãæÕá;36.749396;42.739266;1;;1;;1;;;;;1
40;Mosul;Tel Qwengq;Êá ŞæíäÌŞ;36.358684;43.151958;;1;;;1;1;;;;1
